id,ligand_name,binding_site,cuda_setup_s,rest_setup_s,total_setup_s,job_wait_s,job_duration_s,run_time_s,processing_time_s,run_plus_processing_s,shutdown_s,gpu_memory_mb
5,ADBBMN.xaa_ligand_19-Model1-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
10,ADBBMN.xaa_ligand_19-Model10-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
11,ADBBMN.xaa_ligand_19-Model11-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
54,ADBBMN.xaa_ligand_19-Model12-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
29,ADBBMN.xaa_ligand_19-Model13-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
18,ADBBMN.xaa_ligand_19-Model14-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
28,ADBBMN.xaa_ligand_19-Model15-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
24,ADBBMN.xaa_ligand_19-Model16-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
14,ADBBMN.xaa_ligand_19-Model17-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
35,ADBBMN.xaa_ligand_19-Model18-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
52,ADBBMN.xaa_ligand_19-Model19-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
6,ADBBMN.xaa_ligand_19-Model2-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
56,ADBBMN.xaa_ligand_19-Model20-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
37,ADBBMN.xaa_ligand_19-Model21-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
60,ADBBMN.xaa_ligand_19-Model22-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
2,ADBBMN.xaa_ligand_19-Model23-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
50,ADBBMN.xaa_ligand_19-Model24-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
38,ADBBMN.xaa_ligand_19-Model25-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
49,ADBBMN.xaa_ligand_19-Model26-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
59,ADBBMN.xaa_ligand_19-Model27-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
58,ADBBMN.xaa_ligand_19-Model28-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
21,ADBBMN.xaa_ligand_19-Model29-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
47,ADBBMN.xaa_ligand_19-Model3-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
55,ADBBMN.xaa_ligand_19-Model30-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
41,ADBBMN.xaa_ligand_19-Model31-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
13,ADBBMN.xaa_ligand_19-Model32-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
30,ADBBMN.xaa_ligand_19-Model33-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
12,ADBBMN.xaa_ligand_19-Model34-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
57,ADBBMN.xaa_ligand_19-Model35-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
32,ADBBMN.xaa_ligand_19-Model36-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
9,ADBBMN.xaa_ligand_19-Model37-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
39,ADBBMN.xaa_ligand_19-Model38-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
43,ADBBMN.xaa_ligand_19-Model39-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
63,ADBBMN.xaa_ligand_19-Model4-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
17,ADBBMN.xaa_ligand_19-Model40-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
62,ADBBMN.xaa_ligand_19-Model41-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
15,ADBBMN.xaa_ligand_19-Model42-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
27,ADBBMN.xaa_ligand_19-Model43-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
25,ADBBMN.xaa_ligand_19-Model44-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
36,ADBBMN.xaa_ligand_19-Model45-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
44,ADBBMN.xaa_ligand_19-Model46-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
19,ADBBMN.xaa_ligand_19-Model47-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
34,ADBBMN.xaa_ligand_19-Model48-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
40,ADBBMN.xaa_ligand_19-Model49-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
26,ADBBMN.xaa_ligand_19-Model5-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
64,ADBBMN.xaa_ligand_19-Model50-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
61,ADBBMN.xaa_ligand_19-Model51-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
4,ADBBMN.xaa_ligand_19-Model52-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
33,ADBBMN.xaa_ligand_19-Model53-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
53,ADBBMN.xaa_ligand_19-Model54-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
31,ADBBMN.xaa_ligand_19-Model55-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
22,ADBBMN.xaa_ligand_19-Model56-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
46,ADBBMN.xaa_ligand_19-Model57-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
7,ADBBMN.xaa_ligand_19-Model58-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
51,ADBBMN.xaa_ligand_19-Model59-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
45,ADBBMN.xaa_ligand_19-Model6-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
48,ADBBMN.xaa_ligand_19-Model60-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
3,ADBBMN.xaa_ligand_19-Model61-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
42,ADBBMN.xaa_ligand_19-Model62-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
16,ADBBMN.xaa_ligand_19-Model63-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
8,ADBBMN.xaa_ligand_19-Model64-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
1,ADBBMN.xaa_ligand_19-Model7-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
23,ADBBMN.xaa_ligand_19-Model8-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
20,ADBBMN.xaa_ligand_19-Model9-5i6x_edited,1,0.238828,0.043184,0.28201200000000004,0.643,0.239,0.939,0.056,0.995,0.001263,73.32
9331,ADBBMN.xaa_ligand_01-Model1-5i6x_edited,2,0.126656,0.040107,0.166763,0.539,0.23,0.823,0.053,0.876,0.001327,74.82
9300,ADBBMN.xaa_ligand_01-Model10-5i6x_edited,2,0.126656,0.040107,0.166763,0.539,0.23,0.823,0.053,0.876,0.001327,74.82
9339,ADBBMN.xaa_ligand_01-Model11-5i6x_edited,2,0.126656,0.040107,0.166763,0.539,0.23,0.823,0.053,0.876,0.001327,74.82
