ligand_prefix,entry_count,cuda_setup_s_avg,rest_setup_s_avg,total_setup_s_avg,job_wait_s_avg,job_duration_s_avg,run_time_s_avg,processing_time_s_avg,run_plus_processing_s_avg,shutdown_s_avg,gpu_memory_mb_avg,cuda_setup_s_sum,rest_setup_s_sum,total_setup_s_sum,job_wait_s_sum,job_duration_s_sum,run_time_s_sum,processing_time_s_sum,run_plus_processing_s_sum,shutdown_s_sum,gpu_memory_mb_sum
ADBBMN.xaa_ligand_01,320,0.1315102,0.0405928,0.172103,0.5436,0.23120000000000002,0.8308,0.0548,0.8855999999999999,0.0014172,76.47,42.083264,12.989695999999999,55.07296,173.952,73.98400000000001,265.856,17.536,283.392,0.453504,24470.399999999998
ADBBMN.xaa_ligand_02,320,0.13008820000000001,0.0404732,0.1705614,0.5404,0.24299999999999997,0.8427999999999999,0.05820000000000001,0.901,0.00138,76.22,41.628224,12.951424,54.579648,172.928,77.75999999999999,269.69599999999997,18.624000000000002,288.32,0.4416,24390.399999999998
ADBBMN.xaa_ligand_03,320,0.1308398,0.0397778,0.17061759999999998,0.5384,0.2298,1.0308,0.26139999999999997,1.2922,0.0013682,76.02,41.868736,12.728896,54.597632,172.288,73.536,329.856,83.648,413.504,0.437824,24326.399999999998
ADBBMN.xaa_ligand_04,320,0.13079259999999998,0.039745600000000006,0.1705382,0.5392,0.23220000000000002,0.8225999999999999,0.05,0.8725999999999999,0.0014551999999999998,75.91999999999999,41.853632,12.718592000000001,54.572224,172.544,74.304,263.23199999999997,16.0,279.23199999999997,0.46566399999999997,24294.399999999998
ADBBMN.xaa_ligand_05,320,0.1270886,0.0400934,0.167182,0.5442,0.23420000000000002,0.8400000000000001,0.060399999999999995,0.9004,0.001495,76.16999999999999,40.668352,12.829888,53.498239999999996,174.144,74.944,268.8,19.328,288.128,0.4784,24374.399999999998
ADBBMN.xaa_ligand_06,320,0.1290602,0.0396824,0.16874260000000002,0.5388,0.223,0.8138,0.0508,0.8646,0.0014332000000000001,76.16999999999999,41.299264,12.698368,53.997632,172.416,71.36,260.416,16.256,276.672,0.45862400000000003,24374.399999999998
ADBBMN.xaa_ligand_07,320,0.13160319999999998,0.0398024,0.1714056,0.5422,0.22480000000000003,0.8164,0.048,0.8644000000000001,0.0013526,76.02,42.113023999999996,12.736768,54.849792,173.50400000000002,71.936,261.248,15.36,276.608,0.432832,24326.399999999998
ADBBMN.xaa_ligand_08,320,0.12924660000000002,0.0402974,0.169544,0.5424,0.22680000000000003,0.8202,0.0496,0.8698,0.0013729999999999999,75.57,41.358912000000004,12.895168,54.25408,173.568,72.57600000000001,262.464,15.872,278.336,0.43936,24182.399999999998
ADBBMN.xaa_ligand_09,320,0.1281948,0.0399672,0.168162,0.5392,0.2286,0.8230000000000001,0.054200000000000005,0.8772,0.0014122,76.4700625,41.022336,12.789504,53.811840000000004,172.544,73.152,263.36,17.344,280.704,0.451904,24470.42
ADBBMN.xaa_ligand_10,320,0.1296968,0.0402184,0.1699152,0.5392,0.2792,0.8817999999999999,0.0628,0.9446,0.0014766,75.61999999999999,41.502976000000004,12.869888,54.372864,172.544,89.34400000000001,282.176,20.096,302.272,0.472512,24198.399999999998
ADBBMN.xaa_ligand_11,320,0.1289226,0.0400304,0.168953,0.5398000000000001,0.24,0.8400000000000001,0.059199999999999996,0.8991999999999999,0.0013955999999999999,76.27,41.255232,12.809728,54.06496,172.73600000000002,76.8,268.8,18.944,287.74399999999997,0.446592,24406.399999999998
ADBBMN.xaa_ligand_12,320,0.1302164,0.039962,0.1701784,0.5414000000000001,0.2306,0.8346,0.061399999999999996,0.8959999999999999,0.0013854,75.91999999999999,41.669248,12.78784,54.457088,173.24800000000002,73.792,267.072,19.648,286.71999999999997,0.443328,24294.399999999998
ADBBMN.xaa_ligand_13,320,0.1278602,0.0403258,0.168186,0.5358,0.24359999999999998,0.8404,0.059399999999999994,0.8997999999999999,0.001431,75.91999999999999,40.915264,12.904256,53.819520000000004,171.45600000000002,77.952,268.928,19.008,287.936,0.45792,24294.399999999998
ADBBMN.xaa_ligand_14,320,0.13117600000000001,0.0393642,0.1705402,0.5378000000000001,0.2204,0.8018000000000001,0.043,0.8448,0.0014004,76.41999999999999,41.97632,12.596544,54.572864,172.096,70.528,256.576,13.76,270.336,0.44812799999999997,24454.399999999998
ADBBMN.xaa_ligand_15,320,0.1300576,0.0396582,0.1697158,0.5464,0.3032,0.9244,0.0736,0.998,0.0013856,76.22,41.618432,12.690624,54.309056,174.848,97.024,295.808,23.552,319.36,0.443392,24390.399999999998
ADBBMN.xaa_ligand_16,320,0.131569,0.0399146,0.1714836,0.5458000000000001,0.2354,0.8309999999999998,0.0486,0.8795999999999999,0.0014712,75.82,42.10208,12.772672,54.874752,174.656,75.328,265.91999999999996,15.552,281.472,0.470784,24262.399999999998
ADBBMN.xaa_ligand_17,320,0.133424,0.0395128,0.1729368,0.5444000000000001,0.22080000000000002,0.8118000000000001,0.045599999999999995,0.8573999999999999,0.0015987999999999998,76.22,42.695679999999996,12.644096,55.339776,174.20800000000003,70.656,259.776,14.591999999999999,274.368,0.511616,24390.399999999998
ADBBMN.xaa_ligand_18,320,0.129061,0.03974,0.168801,0.54,0.24139999999999998,0.8427999999999999,0.060399999999999995,0.9032,0.0014156,75.66999999999999,41.29952,12.7168,54.01632,172.8,77.24799999999999,269.69599999999997,19.328,289.024,0.452992,24214.399999999998
ADBBMN.xaa_ligand_19,384,0.146704,0.04056266666666667,0.18726666666666666,0.553,0.238,0.8498333333333333,0.05766666666666667,0.9075000000000001,0.0013893333333333333,75.61166666666666,56.334336,15.576064,71.9104,212.352,91.392,326.336,22.144000000000002,348.48,0.533504,29034.879999999997
ADBBMN.xaa_ligand_20,320,0.1282764,0.0400714,0.1683478,0.54,0.23879999999999998,0.8395999999999999,0.06,0.8996000000000001,0.0013838,76.22,41.048448,12.822848,53.871296,172.8,76.416,268.67199999999997,19.2,287.872,0.442816,24390.399999999998
ADBBMN.xaa_ligand_21,320,0.1298424,0.040432,0.1702744,0.5364000000000001,0.2314,0.8158,0.0472,0.8630000000000001,0.0013678,75.57,41.549568,12.93824,54.487808,171.64800000000002,74.048,261.056,15.104,276.16,0.437696,24182.399999999998
ADBBMN.xaa_ligand_22,320,0.1300856,0.0397322,0.1698178,0.544,0.23220000000000002,0.8346,0.05720000000000001,0.8917999999999999,0.0014076,75.86999999999999,41.627392,12.714304,54.341696,174.08,74.304,267.072,18.304000000000002,285.376,0.450432,24278.399999999998
ADBBMN.xaa_ligand_23,320,0.1296544,0.0401434,0.1697978,0.5404,0.23420000000000002,0.827,0.0512,0.8782,0.0013852,76.27,41.489408,12.845888,54.335296,172.928,74.944,264.64,16.384,281.024,0.443264,24406.399999999998
ADBBMN.xaa_ligand_24,320,0.1309778,0.039854,0.1708318,0.542,0.21800000000000003,0.8155999999999999,0.054400000000000004,0.8699999999999999,0.0013516000000000001,75.72,41.912896,12.75328,54.666176,173.44,69.76,260.99199999999996,17.408,278.4,0.432512,24230.399999999998
ADBBMN.xaa_ligand_25,320,0.12986820000000002,0.0405562,0.1704244,0.5386,0.24100000000000002,0.8362,0.055400000000000005,0.8916000000000001,0.0013939999999999998,75.97,41.557824000000004,12.977984,54.535808,172.352,77.12,267.584,17.728,285.312,0.44608,24310.399999999998
escitalopram-e,320,0.1281812,0.0396654,0.1678466,0.5372,0.8603999999999999,1.509,0.11000000000000001,1.6190000000000002,0.0014378,75.66999999999999,41.017984,12.692928,53.710912,171.904,275.328,482.88,35.2,518.08,0.460096,24214.399999999998
